Module                  Size  Used by
ext4                 1155072  0
mbcache                16384  1 ext4
jbd2                  208896  1 ext4
af_packet              69632  8
intel_rapl_msr         20480  0
intel_rapl_common      53248  1 intel_rapl_msr
x86_pkg_temp_thermal    16384  0
intel_powerclamp       20480  0
coretemp               20480  0
kvm_intel             434176  0
kvm                  1368064  1 kvm_intel
irqbypass              12288  1 kvm
ofpart                 16384  0
crct10dif_pclmul       12288  1
cmdlinepart            16384  0
spi_nor               172032  0
crc32_pclmul           12288  0
polyval_clmulni        12288  0
snd_hda_codec_cirrus    24576  1
snd_hda_codec_generic   114688  1 snd_hda_codec_cirrus
snd_hda_codec_hdmi     98304  1
polyval_generic        12288  1 polyval_clmulni
mtd                   110592  4 spi_nor,cmdlinepart,ofpart
ghash_clmulni_intel    16384  0
sha512_ssse3           53248  0
snd_hda_intel          69632  0
snd_intel_dspcfg       40960  1 snd_hda_intel
sha256_ssse3           36864  0
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
spi_intel_platform     12288  0
mei_hdcp               28672  0
btusb                  81920  0
spi_intel              36864  1 spi_intel_platform
sha1_ssse3             32768  0
snd_hda_codec         221184  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_cirrus
mei_pxp                20480  0
btrtl                  32768  1 btusb
joydev                 28672  0
xt_conntrack           12288  2
i915                 4595712  2
nf_conntrack          208896  1 xt_conntrack
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
aesni_intel           122880  0
btintel                69632  1 btusb
btbcm                  24576  1 btusb
xt_tcpudp              16384  3
snd_hda_core          143360  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_cirrus
iTCO_wdt               16384  0
ip6t_rpfilter          12288  1
ipt_rpfilter           12288  1
btmtk                  36864  1 btusb
snd_hwdep              20480  1 snd_hda_codec
snd_pcm               188416  4 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_core
intel_pmc_bxt          16384  1 iTCO_wdt
gf128mul               16384  2 polyval_generic,aesni_intel
bluetooth            1089536  6 btrtl,btmtk,btintel,btbcm,btusb
watchdog               49152  1 iTCO_wdt
crypto_simd            16384  1 aesni_intel
cryptd                 28672  2 crypto_simd,ghash_clmulni_intel
xt_pkttype             12288  2
drm_buddy              28672  1 i915
snd_timer              53248  1 snd_pcm
input_leds             12288  0
nft_compat             24576  9
x_tables               53248  6 xt_conntrack,ip6t_rpfilter,nft_compat,xt_tcpudp,ipt_rpfilter,xt_pkttype
acpi_als               16384  1
applesmc               32768  0
ttm                   106496  1 i915
rapl                   20480  0
sch_fq_codel           20480  2
evdev                  28672  5
applespi               61440  0
ecdh_generic           16384  1 bluetooth
mousedev               24576  0
snd                   155648  7 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_timer,snd_pcm
nf_tables             393216  101 nft_compat
drm_display_helper    294912  1 i915
libcrc32c              12288  2 nf_conntrack,nf_tables
crc32c_generic         12288  0
ecc                    49152  1 ecdh_generic
intel_cstate           20480  0
industrialio_triggered_buffer    12288  1 acpi_als
cec                    77824  2 drm_display_helper,i915
sbs                    20480  0
crc16                  12288  3 bluetooth,ext4,applespi
spi_pxa2xx_platform    12288  0
intel_gtt              28672  1 i915
kfifo_buf              12288  1 industrialio_triggered_buffer
i2c_algo_bit           24576  1 i915
soundcore              16384  1 snd
intel_uncore          270336  0
mac_hid                12288  0
