Component,Part Number,Description,Quantity
"780-BBVB : RAID 1+RAID 5, H330/H730/H730P  for SAS/SATA","27TVJ","INFO,C16A,ASSR1/R5,T330","1"
"770-BBCR : No Rack Rails, No Cable Manage ment Arm, No Casters","7H154","INFO,RACK,RK-MNT,NO RAILS","1"
"631-AACK : No Systems Documentation, No O penManage DVD Kit","7213U","INFO,EDOCS-OPTION-ONLY","1"
"619-ABVR : No Operating System","1U112","SRV,SW,DELL,NULL-OS","1"
"542-BBCQ : On-Board LOM 1GBE Dual Port (B CM5720 GbE LOM)","7WY31","INFO,LOM,DP","1"
"540-BBCX : Broadcom 5720 Dual Port 1GbE B ASE-T Adapter, PCIe Full Heigh t","0FCGN","Card,Network,Dell Plus,Broadcom Corporation,1P","1"
"","K15V8","SRV,SW,NTWK,BCOM,V20.2,Q2FY17","1"
"","MC25D","DSK PROG,NTWK,BCOM,Q2FY17,MISC","1"
"","DMRTP","DSK PROG,NTWK,BCOM,Q2FY17,FW","1"
"450-ADWQ : Dual, Hot-plug, Redundant Powe r Supply (1+1), 495W","N6523","INFO,RDNT,PSU","1"
"","GRTNK","PWR SPLY,495W,RDNT,13G,DELTA,2","2"
"","2W02P","ASSY,LBL,REG,FCC1,495W,V3","1"
"450-AALV : Power Cord - NEMA 5-15P to C13 , 3M, 125V, 15A (North America , Guam, North Marianas, Philip pines, Samoa, Vietnam)","0R215","CORD,PWR,15A125V,10FT,5-15/C13","2"
"429-AAHW : DVD+/-RW, SATA, Internal","83535","INFO,PART,ATAPI,DEVICE","1"
"","2481R","Information Digital Video/    Versatile Diskette,Dimension  VAL","1"
"","PHF8J","Assembly,Dvd+/-Rw,16X,Serial Ata,Half Height,Plds","1"
"","01295","INFO,FIRST CD ROM","1"
"421-5736 : No Media Required","734TT","INFO,SW,NO,MEDIA","1"
"412-AAHC : Standard Heatsink","5D65X","ASSY,HTSNK,84X105X109.7MM,T330","1"
"406-BBKB : Power Interface Board, T330","CWPDD","Assembly,Card,Interface,PIB,PET330","1"
"405-AAGJ : PERC H730 Controller, 1GB NV C ache","7P6PF","SRV,DRVR,H730,ADPT,SAS-RAID","1"
"","R955P","LBL,BTRY,LBH,NBK,IATA,WW","1"
"","44GNF","Assembly,Card,Controller,H730,1GB,Adapter","1"
"","8KYYM","Bracket,PERC9,Full Height,H730/H330,Kit","1"
"403-BBJP : iDRAC Port Card","C11DD","ASSY,PWA,RSR,SV,AMEA,T130/T330","1"
"400-AIUS : 2TB 7.2K RPM SATA 6Gbps 3.5in Hot-plug Hard Drive","G937K","Screw,6-32X.225,Phillips Head Flat Head,Black","16"
"","58CWC","Assembly,Carrier,Hard Drive, PLSTC, SATA, 3.5","4"
"","4256W","Hard Drive,2T,SATA6,7.2K,3.5,T-TC,E/C","4"
"","FM833","LBL,POD,HD,RECTANGULAR","4"
"","3556E","INFO,BACKPLANE HD","1"
